Country or region,Score,Social support
Finland,7.769,1.587
Denmark,7.6,1.5730000000000002
Norway,7.553999999999999,1.5819999999999999
Iceland,7.494,1.624
Netherlands,7.4879999999999995,1.5219999999999998
Switzerland,7.48,1.526
Sweden,7.343,1.4869999999999999
New Zealand,7.307,1.557
Canada,7.278,1.505
Austria,7.246,1.475
Australia,7.228,1.548
Costa Rica,7.167000000000001,1.4409999999999998
Israel,7.138999999999999,1.455
Luxembourg,7.09,1.479
United Kingdom,7.053999999999999,1.538
Ireland,7.021,1.5530000000000002
Germany,6.985,1.454
Belgium,6.922999999999999,1.504
United States,6.892,1.4569999999999999
Czech Republic,6.852,1.4869999999999999
United Arab Emirates,6.825,1.31
Malta,6.726,1.52
Mexico,6.595,1.3230000000000002
France,6.5920000000000005,1.472
Chile,6.444,1.369
Guatemala,6.436,1.2690000000000001
Saudi Arabia,6.375,1.357
Qatar,6.374,1.3130000000000002
Spain,6.354,1.484
Panama,6.321000000000001,1.442
Brazil,6.3,1.439
Uruguay,6.292999999999999,1.465
Singapore,6.2620000000000005,1.463
El Salvador,6.252999999999999,1.242
Italy,6.223,1.4880000000000002
Bahrain,6.199,1.368
Slovak Republic,6.1979999999999995,1.504
Trinidad and Tobago,6.192,1.4769999999999999
Poland,6.182,1.4380000000000002
Uzbekistan,6.1739999999999995,1.5290000000000001
Lithuania,6.149,1.515
Colombia,6.125,1.41
Slovenia,6.117999999999999,1.5230000000000001
Nicaragua,6.105,1.325
Kosovo,6.1,1.232
Argentina,6.086,1.432
Romania,6.07,1.232
Cyprus,6.046,1.2229999999999999
Ecuador,6.028,1.3119999999999998
Kuwait,6.021,1.319
Thailand,6.007999999999999,1.409
Latvia,5.94,1.465
"Korea, Rep.",5.895,1.219
Estonia,5.893,1.528
Jamaica,5.89,1.4780000000000002
Mauritius,5.888,1.402
Japan,5.886,1.419
Honduras,5.86,1.236
Kazakhstan,5.809,1.508
Bolivia,5.779,1.209
Hungary,5.757999999999999,1.41
Paraguay,5.742999999999999,1.475
Cyprus,5.718,1.252
Peru,5.697,1.274
Portugal,5.693,1.431
Pakistan,5.653,0.8859999999999999
Russian Federation,5.648,1.452
Philippines,5.631,1.2930000000000001
Serbia,5.603,1.383
Moldova,5.529,1.328
Libya,5.525,1.3030000000000002
Montenegro,5.523,1.361
Tajikistan,5.4670000000000005,1.0979999999999999
Croatia,5.432,1.266
"Hong Kong SAR, China",5.43,1.2770000000000001
Dominican Republic,5.425,1.401
Bosnia and Herzegovina,5.386,1.212
Turkey,5.372999999999999,1.36
Malaysia,5.3389999999999995,1.171
Belarus,5.3229999999999995,1.465
Greece,5.287000000000001,1.156
Mongolia,5.285,1.531
North Macedonia,5.274,1.294
Nigeria,5.265,1.111
Kyrgyz Republic,5.261,1.4380000000000002
Turkmenistan,5.247000000000001,1.538
Algeria,5.211,1.16
Morocco,5.207999999999999,0.782
Azerbaijan,5.207999999999999,1.147
Lebanon,5.197,1.224
Indonesia,5.192,1.203
China,5.191,1.125
Vietnam,5.175,1.3459999999999999
Bhutan,5.082,1.321
Cameroon,5.044,0.91
Bulgaria,5.011,1.5130000000000001
Ghana,4.996,0.868
Cote d'Ivoire,4.944,0.8079999999999999
Nepal,4.913,1.226
Jordan,4.906000000000001,1.225
Benin,4.883,0.43700000000000006
"Congo, Rep.",4.812,0.799
Gabon,4.7989999999999995,1.183
Lao PDR,4.796,1.03
South Africa,4.7219999999999995,1.351
Albania,4.718999999999999,0.848
"Venezuela, RB",4.707,1.4269999999999998
Cambodia,4.7,1.122
West Bank and Gaza,4.696000000000001,1.247
Senegal,4.681,1.1340000000000001
Somalia,4.668,0.698
Namibia,4.638999999999999,1.3130000000000002
Niger,4.628,0.774
Burkina Faso,4.587,1.056
Armenia,4.559,1.055
"Iran, Islamic Rep.",4.548,0.8420000000000001
Guinea,4.534,0.8290000000000001
Georgia,4.519,0.6659999999999999
"Gambia, The",4.516,0.9390000000000001
Kenya,4.5089999999999995,0.983
Mauritania,4.49,1.167
Mozambique,4.466,0.986
Tunisia,4.461,1.0
Bangladesh,4.456,0.9279999999999999
Iraq,4.437,0.98
"Congo, Dem. Rep.",4.418,1.125
Mali,4.39,1.105
Sierra Leone,4.374,0.841
Sri Lanka,4.3660000000000005,1.265
Myanmar,4.36,1.181
Chad,4.35,0.7659999999999999
Ukraine,4.332,1.39
Ethiopia,4.2860000000000005,1.033
Eswatini,4.212,1.149
Uganda,4.189,1.069
"Egypt, Arab Rep.",4.166,1.0390000000000001
Zambia,4.107,1.058
Togo,4.085,0.5720000000000001
India,4.015,0.765
Liberia,3.975,0.922
Comoros,3.9730000000000003,0.757
Madagascar,3.9330000000000003,0.9159999999999999
Lesotho,3.802,1.169
Burundi,3.775,0.447
Zimbabwe,3.6630000000000003,1.114
Haiti,3.597,0.688
Botswana,3.488,1.145
Syrian Arab Republic,3.4619999999999997,0.37799999999999995
Malawi,3.41,0.56
"Yemen, Rep.",3.38,1.163
Rwanda,3.3339999999999996,0.711
Tanzania,3.2310000000000003,0.885
Afghanistan,3.2030000000000003,0.517
Central African Republic,3.083,0.0
South Sudan,2.853,0.575
