country,highest_education,title,pay_usd
United States,Doctoral degree,Consultant,
Indonesia,Bachelor’s degree,Other,"10-20,000"
United States,Master’s degree,Data Scientist,"0-10,000"
United States,Master’s degree,Not employed,
India,Master’s degree,Data Analyst,"0-10,000"
Colombia,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Chile,Doctoral degree,Other,"10-20,000"
India,Master’s degree,Other,"0-10,000"
Turkey,Master’s degree,Not employed,
Hungary,Master’s degree,Software Engineer,"20-30,000"
Ireland,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"125-150,000"
France,Doctoral degree,Student,"30-40,000"
United States,Bachelor’s degree,Research Assistant,"30-40,000"
Argentina,Bachelor’s degree,Data Analyst,"10-20,000"
Japan,Master’s degree,Data Scientist,"30-40,000"
Colombia,Master’s degree,Data Scientist,"50-60,000"
Nigeria,Professional degree,Other,"0-10,000"
United States,Some college/university study without earning a bachelor’s degree,Other,"100-125,000"
Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,"30-40,000"
Nigeria,Bachelor’s degree,Student,
United States,Bachelor’s degree,Manager,"90-100,000"
"Iran, Islamic Rep.",Master’s degree,Research Scientist,"0-10,000"
United Kingdom,Master’s degree,Data Scientist,"70-80,000"
Turkey,Master’s degree,Research Assistant,"0-10,000"
India,Bachelor’s degree,Other,"0-10,000"
United States,Master’s degree,Data Analyst,"80-90,000"
Poland,Master’s degree,Business Analyst,"10-20,000"
Kenya,Bachelor’s degree,Software Engineer,"10-20,000"
India,Some college/university study without earning a bachelor’s degree,Student,
Denmark,Master’s degree,Business Analyst,"70-80,000"
Netherlands,Master’s degree,Data Scientist,"100-125,000"
China,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Sweden,Master’s degree,Data Scientist,"60-70,000"
Ukraine,Master’s degree,Software Engineer,"90-100,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Canada,Doctoral degree,Software Engineer,"30-40,000"
Australia,Doctoral degree,Data Scientist,"80-90,000"
United States,Bachelor’s degree,Other,"10-20,000"
United States,Doctoral degree,Software Engineer,"400-500,000"
Japan,Master’s degree,Research Scientist,"40-50,000"
India,Master’s degree,Not employed,
Russian Federation,Master’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
"Iran, Islamic Rep.",Master’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
Austria,Professional degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Student,"10-20,000"
Sweden,Bachelor’s degree,Data Scientist,"70-80,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
Canada,Master’s degree,Student,"125-150,000"
Mexico,Doctoral degree,Other,"20-30,000"
Germany,Doctoral degree,Software Engineer,"70-80,000"
United States,Professional degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Netherlands,Master’s degree,Consultant,"40-50,000"
United States,Bachelor’s degree,Student,"50-60,000"
Sweden,Master’s degree,Data Analyst,"40-50,000"
Ukraine,Master’s degree,Software Engineer,"40-50,000"
Russian Federation,Doctoral degree,Software Engineer,"30-40,000"
