country,unempbenefits,afp_totlabforce,afp_total,cgd_total,cureduexpen_pri,cureduexpen_sec,cureduexpen_ter,cureduexpen_total,eduattain_doctoral,eduattain_bachelor,eduattain_master,eduattain_sec,eduattain_postsec,eduattain_primary,eduattain_tertiary,eduattain_uppersec,expense,life_expectatbirth_fem,life_expectatbirth_male,life_expectatbirth_total,milexp_gdp,milexp_usd,peacekeepers,suic_mortalityrate_pop,suic_mortalityrate_female,suic_mortalityrate_male,totalreserves,unemptotal_modeiloest,unemptotal_nationalest,score,socialsupport,pay_usd
Afghanistan,,,,,,,,,,,,,,,,,,66.026,63.047,64.486,1.00674585570556,198074728.574408,,,,,306.361182290885,11.0570001602173,,3.2030000000000003,0.517,
Albania,,,,,99.1517715454102,85.3626022338867,89.85302734375,93.8843688964844,,,,,,,,,23.2812516936405,80.167,76.816,78.458,1.16806316024134,175886688.575874,,,,,39.4559018689712,12.3400001525879,12.3037996292114,4.718999999999999,0.848,
Algeria,,,,,,,,,,,,,,,,,,77.938,75.494,76.693,5.51456473631646,9583724288.3703,,,,,1530.23782334926,11.8819999694824,,5.211,1.16,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,99.1540603637695,99.2485580444336,99.2001800537109,99.4593811035156,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,63.666,58.064,60.782,1.80694058204604,1983613748.00089,,,,,29.6859016855854,7.01900005340576,,,,
Antigua and Barbuda,,,,,,,53.067699432373,,,,,,,,,,,77.983,75.721,76.885,,,,,,,,,,,,
Argentina,,,,,,,,,,,,57.1575088500977,19.9918098449707,92.6953735351563,19.9918098449707,,22.9037266732302,79.863,73.082,76.52,0.745498854953045,3842852365.3176,,,,,23.3483264149472,9.22000026702881,9.22049999237061,6.086,1.432,38560.606060606061
Armenia,,,,,,,,,,,,,,,,,22.0768137564949,78.354,71.215,74.945,4.89703838169359,608854649.862522,,,,,21.0645038788923,17.496000289917,18.9659004211426,4.559,1.055,
Aruba,,,,,,,,,,,,,,,,,,78.507,73.628,76.152,,,,,,,,,,,,
Australia,,,,,,,,,1.13663005828857,31.7493305206299,7.80558013916016,93.4390716552734,48.3026695251465,99.6665267944336,43.2722282409668,78.3257598876953,26.1172616602158,84.9,80.7,82.7487804878049,1.89418015914225,26839820914.4018,,,,,,5.2979998588562,5.29829978942871,7.228,1.548,84226.190476190476
Austria,,,,,,,,,,,,,,,,,43.6516769483465,84.1,79.4,81.6926829268293,0.743446243195501,3387982011.96842,,,,,,4.84800004959106,4.84800004959106,7.246,1.475,42142.857142857143
Azerbaijan,,,,,,,96.3908996582031,98.6565628051758,,,,,,,,,21.402262398242,75.336,70.345,72.864,3.62421622055085,1672176470.58824,,,,,41.1200899231724,4.90000009536743,4.90000009536743,5.207999999999999,1.147,
"Bahamas, The",,,,,,,,,,,,,,,,,17.9367459455109,75.911,71.499,73.752,,,,,,,,10,10,,,
Bahrain,,,,,,,,,0.244470000267029,21.6051292419434,1.42034995555878,79.9361190795898,32.3650703430176,87.0229034423828,,64.9282302856445,,78.285,76.312,77.163,4.05939018142771,1527659574.46809,,,,,,0.649999976158142,,6.199,1.368,
Bangladesh,,,,,,,,,0.193049997091293,9.36174011230469,4.01797008514404,43.6428413391113,15.5677995681763,58.3957481384277,9.72739028930664,30.5447692871094,,74.291,70.637,72.32,1.28151910229874,3692284518.36065,,,,,61.4376143690771,4.2810001373291,,4.456,0.9279999999999999,21666.666666666667
Barbados,,,,,,,,,,,,,,,,,,80.392,77.682,79.081,,,,,,,,9.38500022888184,,,,
Belarus,,,,,,,,,,,,,,,,,28.1637805187554,79.4,69.2,74.1756097560976,1.19870969652451,715166688.689712,,,,,18.4627060007151,4.76000022888184,4.76000022888184,5.3229999999999995,1.465,22037.037037037037
Belgium,,,,,,,,,,,,,,,,,39.8365857756028,83.9,79.4,81.5951219512195,0.910310346794724,4840480152.96909,,,,,,5.94799995422363,5.94820022583008,6.922999999999999,1.504,60142.857142857143
Belize,,,,,,,,,,,,,,,,,,77.666,71.579,74.496,1.20472769223584,23192437.5,,,,,21.8296259053632,6.51200008392334,,,,
Benin,,,,,,,,,,,,,,,,,,63.003,59.914,61.47,0.869006667889194,90212425.9945842,,,,,,2.38599991798401,,4.883,0.43700000000000006,
Bermuda,,,,,,,95.9330673217773,,,,,,,,,,,85.57,77.92,81.6517073170732,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,20.4201367506548,71.816,71.123,71.46,,,,,,,38.6855760338452,2.30299997329712,,5.082,1.321,
Bolivia,,,,,,,,,,,,,,,,,,74.209,68.434,71.239,1.53659628459923,618842083.148114,,,,,67.4015666576704,3.53399991989136,3.51859998703003,5.779,1.209,
Bosnia and Herzegovina,,,,,,,,,0.190500006079674,7.74765014648438,1.12071001529694,81.3628921508789,11.8616600036621,87.6067810058594,10.8351097106934,63.5065383911133,35.0127652529408,79.72,74.752,77.262,0.869862385991011,172073317.814949,,,,,42.605771958761,18.3999996185303,18.4001998901367,5.386,1.212,
Botswana,,,,,,,,,,,,,,,,,23.5773063683875,72.049,66.204,69.275,2.67592232454937,498087432.354654,,,,,373.55639369305,17.3530006408691,,3.488,1.145,
Brazil,31.0627642183218,,,,,,,,0.257620006799698,16.5433902740479,0.957949995994568,60.0145111083984,16.5433902740479,80.2751235961914,16.5433902740479,47.4328689575195,36.0253956631767,79.362,72.024,75.672,1.50768223787473,28177406872.2637,,,,,67.1834136035952,12.3339996337891,12.3338003158569,6.3,1.439,28828.571428571429
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,76.96,74.593,75.722,2.63645337588251,357708767.503726,,,,,,8.86200046539307,8.69950008392334,,,
Bulgaria,,,,,,,,,,,,,,,,,32.6690183732949,78.6,71.5,74.9634146341464,1.47602077770265,961297274.594496,,,,,71.5924306036662,5.21099996566772,5.21140003204346,5.011,1.5130000000000001,
Burkina Faso,,,,,,,,,,,,,,,,,17.0390031166655,61.863,60.361,61.174,2.12814075909536,305781079.057984,,,,,,6.0939998626709,4.69490003585815,4.587,1.056,
Burundi,,,,,,,,,,,,,,,,,,63.031,59.435,61.247,1.88216143205141,65436595.2627955,,,,,11.5596876064045,1.44799995422363,,3.775,0.447,
Cabo Verde,,,,,,,,,,,,,,,,,,76.007,69.316,72.782,0.541115594084665,10714071.127336,,,,,34.3110124953022,12.1700000762939,12.1700000762939,,,
Cambodia,,,,,,,,,,,,,,,,,14.9597998639214,71.629,67.312,69.57,2.22485439944168,543205183.272952,,,,,108.198971141145,0.65200001001358,,4.7,1.122,
Cameroon,,,,,,,,,,,,,,,,,11.7433399461402,60.192,57.656,58.921,1.11159531025983,429892180.57235,,,,,31.8421942672111,3.35700011253357,,5.044,0.91,
Canada,,,,,,,,,,,,,,,,,17.6079296501212,84.1,79.9,81.9487804878049,1.32575622456545,22729327580.3404,,,,,,5.83099985122681,5.83080005645752,7.278,1.505,76971.830985915493
